适应度, 迭代次数, 距离之和
113601.16596844076, 2688, 1760386
113601.16596844076, 2687, 1762915
113601.16596844076, 2686, 1763678
113601.16596844076, 2685, 1765746
113601.16596844076, 2684, 1767100
116653.13628546876, 2683, 1767416
122953.52481989053, 2682, 1770369
122953.52481989053, 2681, 1769566
123226.46175423816, 2680, 1767754
115262.1797963297, 2679, 1773784
116894.49814567858, 2678, 1773670
116894.49814567858, 2677, 1771516
116894.49814567858, 2676, 1768021
119923.94534020172, 2675, 1764827
123112.81317410881, 2674, 1760739
122709.4775238737, 2673, 1757054
123112.81317410881, 2672, 1758363
116340.75678179906, 2671, 1759738
114466.07943649533, 2670, 1763170
114466.07943649533, 2669, 1771444
115261.71988648357, 2668, 1771462
115261.71988648357, 2667, 1766360
115261.71988648357, 2666, 1765990
122505.94851091219, 2665, 1762904
115346.85868817643, 2664, 1757270
120448.06565432342, 2663, 1756896
124856.16224909645, 2662, 1758664
121041.29030632766, 2661, 1757236
121845.41080256733, 2660, 1757554
121980.96857165612, 2659, 1756918
121980.96857165612, 2658, 1757528
116143.1050915668, 2657, 1757238
116143.1050915668, 2656, 1755638
116143.1050915668, 2655, 1759225
121584.24722585511, 2654, 1753159
119646.47326677099, 2653, 1748467
110397.11917403914, 2652, 1745372
121584.24722585511, 2651, 1740607
118515.59402120343, 2650, 1749347
116294.55078574175, 2649, 1759189
116236.08487921284, 2648, 1759505
114600.87262470445, 2647, 1758799
114600.87262470445, 2646, 1762919
117098.20719425673, 2645, 1757824
117098.20719425673, 2644, 1756655
117098.20719425673, 2643, 1751741
113514.15211262958, 2642, 1755914
112817.48308189125, 2641, 1753663
112817.48308189125, 2640, 1756619
118595.16497714355, 2639, 1754347
118595.16497714355, 2638, 1751124
119910.91412828873, 2637, 1753025
117394.79727268174, 2636, 1754137
117394.79727268174, 2635, 1759303
120067.13920534925, 2634, 1756252
113515.4560439811, 2633, 1760209
120067.13920534925, 2632, 1757595
120067.13920534925, 2631, 1756026
118366.12125722818, 2630, 1757599
118366.12125722818, 2629, 1756622
117155.42030474701, 2628, 1753957
117155.42030474701, 2627, 1757608
123781.86816637499, 2626, 1756064
121797.89949563045, 2625, 1757858
120521.8887293077, 2624, 1761333
121797.89949563045, 2623, 1755370
121797.89949563045, 2622, 1749718
119262.0780937761, 2621, 1754962
113036.02542237073, 2620, 1756178
117508.11432042981, 2619, 1749922
117508.11432042981, 2618, 1746008
117347.43401978073, 2617, 1744190
116713.80928425452, 2616, 1740829
117347.43401978073, 2615, 1738925
117347.43401978073, 2614, 1740694
121096.44238899759, 2613, 1743994
118895.23479158815, 2612, 1743280
120031.95588226167, 2611, 1742372
123302.0371674285, 2610, 1744841
117549.72787344505, 2609, 1744913
121847.25090541539, 2608, 1745282
