适应度, 迭代次数, 距离之和
114222.01792831562, 2508, 0
114222.01792831562, 2507, 0
114222.01792831562, 2506, 0
114222.01792831562, 2505, 0
114222.01792831562, 2504, 0
114222.01792831562, 2503, 0
114222.01792831562, 2502, 0
114222.01792831562, 2501, 0
114222.01792831562, 2500, 0
114222.01792831562, 2499, 0
114222.01792831562, 2498, 0
114222.01792831562, 2497, 0
114222.01792831562, 2496, 0
114222.01792831562, 2495, 0
114222.01792831562, 2494, 0
114222.01792831562, 2493, 0
114222.01792831562, 2492, 0
114222.01792831562, 2491, 0
114222.01792831562, 2490, 0
114222.01792831562, 2489, 0
114222.01792831562, 2488, 0
114222.01792831562, 2487, 0
114222.01792831562, 2486, 0
114222.01792831562, 2485, 0
114222.01792831562, 2484, 0
114222.01792831562, 2483, 0
114222.01792831562, 2482, 0
114222.01792831562, 2481, 0
114222.01792831562, 2480, 0
114222.01792831562, 2479, 0
114222.01792831562, 2478, 0
114222.01792831562, 2477, 0
114222.01792831562, 2476, 0
114222.01792831562, 2475, 0
114222.01792831562, 2474, 0
114222.01792831562, 2473, 0
114222.01792831562, 2472, 0
114222.01792831562, 2471, 0
114222.01792831562, 2470, 0
114222.01792831562, 2469, 0
114222.01792831562, 2468, 0
114222.01792831562, 2467, 0
114222.01792831562, 2466, 0
114222.01792831562, 2465, 0
114222.01792831562, 2464, 0
114222.01792831562, 2463, 0
114222.01792831562, 2462, 0
114222.01792831562, 2461, 0
114222.01792831562, 2460, 0
114222.01792831562, 2459, 0
114222.01792831562, 2458, 0
114222.01792831562, 2457, 0
114222.01792831562, 2456, 0
114222.01792831562, 2455, 0
114222.01792831562, 2454, 0
114222.01792831562, 2453, 0
114222.01792831562, 2452, 0
114222.01792831562, 2451, 0
114222.01792831562, 2450, 0
114222.01792831562, 2449, 0
114222.01792831562, 2448, 0
114222.01792831562, 2447, 0
114222.01792831562, 2446, 0
114222.01792831562, 2445, 0
114222.01792831562, 2444, 0
114222.01792831562, 2443, 0
114222.01792831562, 2442, 0
114222.01792831562, 2441, 0
114222.01792831562, 2440, 0
114222.01792831562, 2439, 0
114222.01792831562, 2438, 0
114222.01792831562, 2437, 0
114222.01792831562, 2436, 0
114222.01792831562, 2435, 0
114222.01792831562, 2434, 0
114222.01792831562, 2433, 0
114222.01792831562, 2432, 0
114222.01792831562, 2431, 0
114222.01792831562, 2430, 0
114222.01792831562, 2429, 0
114222.01792831562, 2428, 0
114222.01792831562, 2427, 0
114222.01792831562, 2426, 0
114222.01792831562, 2425, 0
114222.01792831562, 2424, 0
114222.01792831562, 2423, 0
114222.01792831562, 2422, 0
114222.01792831562, 2421, 0
114222.01792831562, 2420, 0
114222.01792831562, 2419, 0
114222.01792831562, 2418, 0
114222.01792831562, 2417, 0
114222.01792831562, 2416, 0
114222.01792831562, 2415, 0
114222.01792831562, 2414, 0
114222.01792831562, 2413, 0
114222.01792831562, 2412, 0
114222.01792831562, 2411, 0
114222.01792831562, 2410, 0
114222.01792831562, 2409, 0
114222.01792831562, 2408, 0
114222.01792831562, 2407, 0
114222.01792831562, 2406, 0
114222.01792831562, 2405, 0
114222.01792831562, 2404, 0
114222.01792831562, 2403, 0
114222.01792831562, 2402, 0
114222.01792831562, 2401, 0
114222.01792831562, 2400, 0
114222.01792831562, 2399, 0
114222.01792831562, 2398, 0
114222.01792831562, 2397, 0
114222.01792831562, 2396, 0
114222.01792831562, 2395, 0
114222.01792831562, 2394, 0
114222.01792831562, 2393, 0
114222.01792831562, 2392, 0
114222.01792831562, 2391, 0
114222.01792831562, 2390, 0
114222.01792831562, 2389, 0
114222.01792831562, 2388, 0
114222.01792831562, 2387, 0
114222.01792831562, 2386, 0
114222.01792831562, 2385, 0
114222.01792831562, 2384, 0
114222.01792831562, 2383, 0
114222.01792831562, 2382, 0
114222.01792831562, 2381, 0
114222.01792831562, 2380, 0
114222.01792831562, 2379, 0
114222.01792831562, 2378, 0
114222.01792831562, 2377, 0
114222.01792831562, 2376, 0
114222.01792831562, 2375, 0
114222.01792831562, 2374, 0
114222.01792831562, 2373, 0
114222.01792831562, 2372, 0
114222.01792831562, 2371, 0
114222.01792831562, 2370, 0
114222.01792831562, 2369, 0
114222.01792831562, 2368, 0
114222.01792831562, 2367, 0
114222.01792831562, 2366, 0
114222.01792831562, 2365, 0
114222.01792831562, 2364, 0
114222.01792831562, 2363, 0
114222.01792831562, 2362, 0
114222.01792831562, 2361, 0
114222.01792831562, 2360, 0
114222.01792831562, 2359, 0
114222.01792831562, 2358, 0
114222.01792831562, 2357, 0
114222.01792831562, 2356, 0
114222.01792831562, 2355, 0
114222.01792831562, 2354, 0
114222.01792831562, 2353, 0
114222.01792831562, 2352, 0
114222.01792831562, 2351, 0
114222.01792831562, 2350, 0
114222.01792831562, 2349, 0
114222.01792831562, 2348, 0
114222.01792831562, 2347, 0
114222.01792831562, 2346, 0
114222.01792831562, 2345, 0
114222.01792831562, 2344, 0
114222.01792831562, 2343, 0
114222.01792831562, 2342, 0
114222.01792831562, 2341, 0
114222.01792831562, 2340, 0
114222.01792831562, 2339, 0
114222.01792831562, 2338, 0
114222.01792831562, 2337, 0
114222.01792831562, 2336, 0
114222.01792831562, 2335, 0
114222.01792831562, 2334, 0
114222.01792831562, 2333, 0
114222.01792831562, 2332, 0
114222.01792831562, 2331, 0
114222.01792831562, 2330, 0
114222.01792831562, 2329, 0
114222.01792831562, 2328, 0
114222.01792831562, 2327, 0
114222.01792831562, 2326, 0
114222.01792831562, 2325, 0
114222.01792831562, 2324, 0
114222.01792831562, 2323, 0
114222.01792831562, 2322, 0
114222.01792831562, 2321, 0
114222.01792831562, 2320, 0
114222.01792831562, 2319, 0
114222.01792831562, 2318, 0
114222.01792831562, 2317, 0
114222.01792831562, 2316, 0
114222.01792831562, 2315, 0
114222.01792831562, 2314, 0
114222.01792831562, 2313, 0
114222.01792831562, 2312, 0
114222.01792831562, 2311, 0
114222.01792831562, 2310, 0
114222.01792831562, 2309, 0
114222.01792831562, 2308, 0
114222.01792831562, 2307, 0
114222.01792831562, 2306, 0
114222.01792831562, 2305, 0
114222.01792831562, 2304, 0
114222.01792831562, 2303, 0
114222.01792831562, 2302, 0
114222.01792831562, 2301, 0
114222.01792831562, 2300, 0
114222.01792831562, 2299, 0
114222.01792831562, 2298, 0
114222.01792831562, 2297, 0
114222.01792831562, 2296, 0
114222.01792831562, 2295, 0
114222.01792831562, 2294, 0
114222.01792831562, 2293, 0
114222.01792831562, 2292, 0
114222.01792831562, 2291, 0
114222.01792831562, 2290, 0
114222.01792831562, 2289, 0
114222.01792831562, 2288, 0
114222.01792831562, 2287, 0
114222.01792831562, 2286, 0
114222.01792831562, 2285, 0
114222.01792831562, 2284, 0
114222.01792831562, 2283, 0
114222.01792831562, 2282, 0
114222.01792831562, 2281, 0
