适应度, 迭代次数, 距离之和
117433.66222641717, 2835, 1767532
117433.66222641717, 2834, 1768489
123592.60278497614, 2833, 1768366
120546.55896243457, 2832, 1772311
121057.48252030133, 2831, 1773220
125540.75898336589, 2830, 1771135
124585.38255040252, 2829, 1765056
116084.68135142795, 2828, 1764416
116084.68135142795, 2827, 1760442
123801.0100965822, 2826, 1764331
123756.37555619133, 2825, 1765610
123553.67851473986, 2824, 1766266
123553.67851473986, 2823, 1764178
123553.67851473986, 2822, 1763242
123553.67851473986, 2821, 1765168
123674.00157866017, 2820, 1765398
120350.76412714274, 2819, 1766572
125085.00717415092, 2818, 1767786
122562.38373749716, 2817, 1763582
127976.42792420048, 2816, 1760216
124153.91371074949, 2815, 1756968
124668.42689276437, 2814, 1758866
123276.91172241903, 2813, 1761942
121008.18666071854, 2812, 1764042
120567.99788242942, 2811, 1763834
120567.99788242942, 2810, 1763337
120418.75961616276, 2809, 1764921
120418.75961616276, 2808, 1763012
119529.8974700293, 2807, 1762673
119418.5178813107, 2806, 1765843
110654.34779658458, 2805, 1762887
110654.34779658458, 2804, 1759352
110654.34779658458, 2803, 1757260
110654.34779658458, 2802, 1758678
110654.34779658458, 2801, 1756304
110654.34779658458, 2800, 1756070
113119.95002074155, 2799, 1757279
110290.1567725419, 2798, 1750201
110290.1567725419, 2797, 1747177
110290.1567725419, 2796, 1745622
105442.8737602393, 2795, 1747742
108003.4388819913, 2794, 1745613
108003.4388819913, 2793, 1755596
110445.48379351426, 2792, 1756592
110445.48379351426, 2791, 1757307
110445.48379351426, 2790, 1756675
110445.48379351426, 2789, 1756208
110445.48379351426, 2788, 1757094
110445.48379351426, 2787, 1761166
113597.93813605364, 2786, 1765660
117015.01932287823, 2785, 1761103
117015.01932287823, 2784, 1760693
115290.36383723773, 2783, 1757139
117124.44165632683, 2782, 1758994
116145.52391942151, 2781, 1755064
121030.60509021903, 2780, 1758470
120846.67408574391, 2779, 1754567
120846.67408574391, 2778, 1756741
121030.60509021903, 2777, 1757278
117946.24303309504, 2776, 1758352
121693.81124920574, 2775, 1754713
123251.5664386622, 2774, 1752057
112357.73596410155, 2773, 1751871
112357.73596410155, 2772, 1751411
112357.73596410155, 2771, 1748794
118379.61190620202, 2770, 1736917
117406.19838716963, 2769, 1745962
117406.19838716963, 2768, 1756005
117406.19838716963, 2767, 1752323
113971.74504103414, 2766, 1748715
109114.27259362715, 2765, 1751080
111749.03529603366, 2764, 1749146
110571.11565726032, 2763, 1749120
110571.11565726032, 2762, 1749297
112524.90179132324, 2761, 1752425
107604.65839353277, 2760, 1753645
107604.65839353277, 2759, 1757282
107604.65839353277, 2758, 1753352
109000.15932646638, 2757, 1751918
112708.32917923093, 2756, 1749060
112708.32917923093, 2755, 1755410
110037.05891520351, 2754, 1754554
110037.05891520351, 2753, 1753874
118444.02560139437, 2752, 1755098
120194.80025565131, 2751, 1754059
112278.78543772825, 2750, 1750109
112278.78543772825, 2749, 1743370
112278.78543772825, 2748, 1738866
111548.26311978903, 2747, 1737317
111548.26311978903, 2746, 1734584
111548.26311978903, 2745, 1728944
111548.26311978903, 2744, 1732294
121279.59909632665, 2743, 1734800
122832.66646749852, 2742, 1739784
114650.33718189894, 2741, 1738029
113959.16818157773, 2740, 1736027
123180.39128989517, 2739, 1735898
122999.93064570743, 2738, 1739431
119365.44842338261, 2737, 1736435
122856.45952711196, 2736, 1739018
119554.8688973871, 2735, 1739005
116516.93836317533, 2734, 1741471
115812.81030690143, 2733, 1737078
120643.03239165626, 2732, 1740119
119628.48782030692, 2731, 1738766
119628.48782030692, 2730, 1741910
119628.48782030692, 2729, 1743456
113809.73777820873, 2728, 1742285
119340.90294836805, 2727, 1737788
119628.48782030692, 2726, 1740237
120054.9411079275, 2725, 1741768
120915.71983894792, 2724, 1746432
121463.10764913243, 2723, 1736055
121528.92629830974, 2722, 1733217
