适应度, 迭代次数, 距离之和
102384.83690572962, 2726, 497070
104805.94532939246, 2725, 501732
104712.87236431331, 2724, 513566
104712.87236431331, 2723, 486548
105162.53790396522, 2722, 465770
104864.39821402787, 2721, 473968
104334.6403082079, 2720, 501820
105218.32791472836, 2719, 511986
105023.54839771215, 2718, 522996
104181.70686233876, 2717, 514784
105759.83475446682, 2716, 523704
104334.64030820793, 2715, 512426
104334.64030820793, 2714, 537304
102874.73674520121, 2713, 555178
102874.73674520121, 2712, 566984
103681.31146272244, 2711, 565080
104334.6403082079, 2710, 577484
105305.54668850123, 2709, 570220
104334.6403082079, 2708, 566776
104334.6403082079, 2707, 571992
104334.6403082079, 2706, 536064
101699.15370986775, 2705, 535798
101699.15370986775, 2704, 564102
101699.15370986775, 2703, 583770
101699.15370986775, 2702, 593842
101699.15370986775, 2701, 596034
99268.34376656772, 2700, 588840
101699.15370986775, 2699, 600880
100666.83492030112, 2698, 617948
101517.11381049317, 2697, 622320
101517.11381049317, 2696, 611620
101517.11381049317, 2695, 614140
101517.11381049317, 2694, 631384
99817.82843287743, 2693, 627716
100939.52019532664, 2692, 609926
101517.11381049317, 2691, 628286
99809.82288268738, 2690, 625642
98656.70836691278, 2689, 625854
99809.82288268738, 2688, 634504
101517.11381049317, 2687, 623980
99921.75850915337, 2686, 616614
101517.11381049317, 2685, 620604
101517.11381049317, 2684, 636530
102143.75543852677, 2683, 658788
102091.49617260153, 2682, 672424
102143.75543852677, 2681, 672654
102143.75543852677, 2680, 661034
100718.56099226791, 2679, 661028
101600.83321793149, 2678, 652896
101964.11783898361, 2677, 647200
101964.11783898361, 2676, 651602
102143.75543852677, 2675, 644818
102143.75543852677, 2674, 652100
103136.72051332427, 2673, 669654
103136.72051332427, 2672, 663382
103136.72051332427, 2671, 657624
102515.11869080979, 2670, 683136
101045.62169824747, 2669, 685974
102563.36139483293, 2668, 697976
102563.36139483293, 2667, 699870
100132.55145153288, 2666, 698450
100132.55145153288, 2665, 697512
102563.36139483293, 2664, 696242
100705.9105700242, 2663, 709946
102173.81463036293, 2662, 706290
